"","subject","id","seed","claim.efficiency","claim.effectiveness","text.as.first.step","text.with.gui"
"1",1,2,2051833672,4,4,5,4
"2",2,5,2108605786,4,4,4,5
"3",3,6,980809349,1,2,1,1
"4",4,8,1975677673,2,4,4,3
"5",5,11,299112953,4,5,4,4
"6",6,12,310649036,5,1,1,5
"7",7,13,1916526994,5,5,5,5
"8",8,16,530806819,4,4,4,4
"9",9,17,290926371,4,4,4,3
"10",10,18,2117931939,4,4,5,3
"11",11,19,1048922923,1,2,4,4
"12",12,20,1736209271,3,3,3,3
"13",13,21,1638842287,2,3,2,5
"14",14,22,1683345284,4,4,2,5
"15",15,23,2055219255,2,3,3,3
"16",16,24,1385493348,3,4,4,4
"17",17,25,1976607728,4,4,5,5
"18",18,26,603242395,3,4,3,5
"19",19,28,213904330,3,3,4,5
"20",20,29,1524781293,2,5,2,2
"21",21,30,2020808474,4,4,4,4
"22",22,31,216425274,5,5,4,4
"23",23,32,1460590031,4,4,4,4
"24",24,33,790342637,3,3,3,3
"25",25,34,1700181835,3,3,3,3
"26",26,35,1162175495,4,4,3,4
"27",27,36,450050402,4,4,4,4
"28",28,37,436751504,4,2,2,4
"29",29,39,1449684040,4,4,4,5
"30",30,40,2130912221,2,2,4,4
"31",31,43,1876369982,1,1,3,4
"32",32,45,904296725,2,3,3,3
"33",33,53,944159441,4,3,4,4
"34",34,54,32789223,2,5,5,5
"35",35,55,1776216516,2,2,1,4
"36",36,56,1197490048,3,3,2,2
"37",37,58,1209479113,4,5,5,4
"38",38,59,1444407963,2,2,2,4
"39",39,62,532468672,4,4,3,3
"40",40,65,140112808,2,3,5,5
"41",41,66,1176156196,3,4,4,3
"42",42,67,49407394,4,4,4,5
"43",43,68,1242304743,3,4,4,4
"44",44,71,1227483714,3,2,2,4
"45",45,72,1660934437,4,5,4,4
"46",46,74,416517917,2,2,1,4
"47",47,76,1925785819,3,3,4,4
"48",48,77,2081927725,4,4,5,5
"49",49,79,326882635,4,4,5,4
"50",50,80,235934462,4,4,4,4
"51",51,81,2014659586,4,4,5,5
"52",52,82,1778131956,4,4,3,2
"53",53,83,2109237847,3,4,3,4
"54",54,84,1012554506,2,3,2,4
"55",55,85,416935227,4,4,5,5
"56",56,NA,NA,NA,NA,NA,NA
